 ,Label,Angle,Length
243,RW-X-AR2317-05-30-19.JPG,7.923,1175.219
244,RW-X-AR_1403-03-14-19.JPG,7.748,1231.242
245,RW-X-CA_0403-01-22-19.JPG,4.477,1229.753
246,RW-X-CA_0427-02-15-19.JPG,11.602,1153.570
247,RW-X-CA_0914-01-29-19.JPG,8.233,1256.955
248,RW-X-CA_1106-05-01-19.JPG,13.341,1239.448
249,RW-Y-AR0305-05-01-19.JPG,13.292,1270.024
250,RW-Y-AR0309-05-30-19.JPG,13.102,1279.303
251,RW-Y-AR1513-05-15-19.JPG,-4.264,1237.425
252,RW-Y-AR1907-05-30-19.JPG,5.849,1236.437
253,RW-Y-AR2012-05-01-19.JPG,1.125,1222.236
254,RW-Y-AR2907-05-15-19.JPG,6.653,1173.905
255,RW-Y-AR_1612-03-14-19.JPG,9.636,1194.857
256,RW-Y-CA_0527-02-15-19.JPG,7.420,1254.504
257,RW-Z-AR0103-05-01-19.JPG,8.484,1328.538
258,RW-Z-AR0115-05-30-19.JPG,4.695,1246.181
259,RW-Z-AR0811-05-01-19.JPG,15.982,1300.255
260,RW-Z-AR1402-05-30-19.JPG,8.929,1236.992
261,RW-Z-AR1913-05-15-19.JPG,0.193,1188.007
262,RW-Z-AR2506-05-15-19.JPG,0.286,1200.015
263,RW-Z-AR_2512-03-14-19.JPG,8.420,1174.661
264,RW-Z-CA_0112-03-14-19.JPG,6.147,1307.517
265,RW-Z-CA_0325-02-15-19.JPG,13.750,1262.171
266,RW-Z-CA_0411-01-22-19.JPG,12.612,1190.733
267,RW-Z-CA_1020-02-15-19.JPG,-0.628,1278.077
268,RW-Z-CA_1319-01-29-19.JPG,16.125,1224.163
269,RW1-W-CA_1216-01-29-19.JPG,15.997,1219.213
270,UNK_RW-G-AR1103-05-30-19.JPG,177.182,1301.574
271,LW-B-AR2305-05-30-19.JPG,7.444,1157.758
272,LW-B-AR_0511-03-14-19.JPG,11.746,1286.951
273,LW-B-AR_2711-03-14-19.JPG,18.347,1238.982
274,LW-B-CA0509-05-30-19.JPG,9.598,1247.463
275,LW-B-CA_0220-02-15-19.JPG,6.462,1243.904
276,LW-C-AR1409-01-25-20.JPG,1.736,858.394
277,LW-C-AR2201-01-25-20.JPG,-0.411,836.022
278,LW-C-AR2904-01-25-20.JPG,14.764,839.726
279,LW-C-CA0225-01-25-20.JPG,0.131,872.002
280,LW-C-CA0226-01-25-20.JPG,6.044,854.751
281,LW-C-CA0329-01-25-20.JPG,9.782,823.981
282,LW-C-CA0413-01-25-20.JPG,9.720,876.584
283,LW-C-CA0522-011-25-20.JPG,2.017,852.528
284,LW-C-CA0524-01-25-20.JPG,1.637,840.343
285,LW-C-CA0813-01-25-20.JPG,5.620,878.221
286,LW-C-CA1201-01-25-20.JPG,14.744,864.463
287,LW-C-CA1305-01-25-20.JPG,12.544,838.002
288,LW-C-CA1414-01-25-20.JPG,4.517,888.761
289,LW-C-CA1419-02-25-20.JPG,-4.179,878.335
290,LW-C-CA_0201-11-28-18.JPG,11.148,1251.618
291,LW-F-AR2203-05-15-19.JPG,5.402,1147.095
292,LW-F-CA0330-05-01-19.JPG,13.401,1225.365
293,LW-F-CA1010-05-30-19.JPG,9.998,1267.243
